distid,createdts,sn,stations_bs,stations_br,stations_mode,stations_signal_strength,stations_tx_link_rate,stations_max_tx_phy_rate,stations_link_rate,stations_max_rx_phy_rate,stations_airtime_utilization,stations_station_name,connect_type,stations_parent_id
DEV_003_2024-09-05 22:00:00,2024-09-05 22:00:00,DEV_003,95,19,37,89,65,85,39,26,42,Station_5,2.4G,PARENT_2
DEV_003_2024-09-05 23:00:00,2024-09-05 23:00:00,DEV_003,69,29,97,2,18,60,14,40,64,Station_3,5G_H_iptv,PARENT_6
DEV_003_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_003,40,9,77,31,78,95,15,34,62,Station_9,5G,PARENT_7
DEV_003_2024-09-06 01:00:00,2024-09-06 01:00:00,DEV_003,54,89,37,40,20,71,18,44,56,Station_1,5G_H_iptv,PARENT_7
DEV_003_2024-09-06 02:00:00,2024-09-06 02:00:00,DEV_003,28,21,37,23,48,59,74,52,17,Station_6,MoCA,PARENT_1
DEV_003_2024-09-06 03:00:00,2024-09-06 03:00:00,DEV_003,95,44,88,20,47,69,42,26,49,Station_7,6G,PARENT_2
DEV_003_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_003,95,9,66,60,37,47,29,98,63,Station_9,Ether,PARENT_1
DEV_003_2024-09-06 05:00:00,2024-09-06 05:00:00,DEV_003,9,57,56,20,2,1,74,87,54,Station_3,Ether,PARENT_8
DEV_003_2024-09-06 06:00:00,2024-09-06 06:00:00,DEV_003,52,86,20,11,73,79,60,16,13,Station_5,5G_guest,PARENT_9
DEV_003_2024-09-06 07:00:00,2024-09-06 07:00:00,DEV_003,63,47,15,54,82,43,97,14,34,Station_2,2.4G_guest,PARENT_3
DEV_003_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_003,30,87,51,87,3,77,51,46,40,Station_7,5G_H,PARENT_1
DEV_003_2024-09-06 09:00:00,2024-09-06 09:00:00,DEV_003,85,93,69,85,66,23,75,79,23,Station_7,6G,PARENT_2
DEV_003_2024-09-06 10:00:00,2024-09-06 10:00:00,DEV_003,51,44,70,80,55,66,96,58,43,Station_6,6G_guest,PARENT_9
DEV_003_2024-09-06 11:00:00,2024-09-06 11:00:00,DEV_003,41,73,89,50,90,90,61,69,63,Station_9,MoCA,PARENT_7
DEV_003_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_003,26,73,23,52,88,73,74,70,4,Station_1,5G_guest,PARENT_8
DEV_003_2024-09-06 13:00:00,2024-09-06 13:00:00,DEV_003,29,3,88,42,9,81,59,38,42,Station_8,Ether,PARENT_4
DEV_003_2024-09-06 14:00:00,2024-09-06 14:00:00,DEV_003,45,33,20,34,67,84,67,70,93,Station_7,6G,PARENT_7
DEV_003_2024-09-06 15:00:00,2024-09-06 15:00:00,DEV_003,85,44,1,97,50,74,62,90,3,Station_8,Ether,PARENT_9
DEV_003_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_003,36,91,57,97,85,90,78,43,28,Station_5,6G,PARENT_9
DEV_003_2024-09-06 17:00:00,2024-09-06 17:00:00,DEV_003,29,38,34,65,20,26,27,23,71,Station_6,5G,PARENT_3
DEV_003_2024-09-06 18:00:00,2024-09-06 18:00:00,DEV_003,68,93,67,66,69,82,98,15,44,Station_7,5G_H_guest,PARENT_3
DEV_003_2024-09-06 19:00:00,2024-09-06 19:00:00,DEV_003,65,86,25,61,17,97,52,58,81,Station_9,5G_guest,PARENT_5
DEV_003_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_003,37,75,76,34,35,60,39,46,16,Station_8,MoCA,PARENT_6
DEV_003_2024-09-06 21:00:00,2024-09-06 21:00:00,DEV_003,17,56,36,42,82,19,7,55,30,Station_8,6G_iptv,PARENT_3
DEV_003_2024-09-06 22:00:00,2024-09-06 22:00:00,DEV_003,34,34,95,86,2,27,47,96,57,Station_3,MoCA,PARENT_2
DEV_003_2024-09-06 23:00:00,2024-09-06 23:00:00,DEV_003,26,10,39,9,25,20,15,91,11,Station_6,5G_H,PARENT_2
DEV_003_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_003,88,36,18,20,8,15,77,78,47,Station_8,5G_iptv,PARENT_5
DEV_003_2024-09-07 01:00:00,2024-09-07 01:00:00,DEV_003,24,47,18,32,99,84,42,96,37,Station_1,MoCA,PARENT_1
DEV_003_2024-09-07 02:00:00,2024-09-07 02:00:00,DEV_003,46,79,78,95,34,3,56,12,26,Station_8,6G_guest,PARENT_2
DEV_003_2024-09-07 03:00:00,2024-09-07 03:00:00,DEV_003,8,76,73,26,58,38,49,43,59,Station_3,5G,PARENT_3
DEV_003_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_003,3,89,32,21,14,95,8,7,99,Station_3,6G,PARENT_2
DEV_003_2024-09-07 05:00:00,2024-09-07 05:00:00,DEV_003,69,44,66,18,79,16,12,60,86,Station_6,5G_H,PARENT_6
DEV_003_2024-09-07 06:00:00,2024-09-07 06:00:00,DEV_003,22,4,76,21,91,23,42,91,41,Station_4,5G_H_iptv,PARENT_1
DEV_003_2024-09-07 07:00:00,2024-09-07 07:00:00,DEV_003,54,82,91,7,41,62,84,57,99,Station_1,6G,PARENT_8
DEV_003_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_003,24,31,27,49,73,66,70,31,25,Station_6,5G_iptv,PARENT_9
DEV_003_2024-09-07 09:00:00,2024-09-07 09:00:00,DEV_003,69,17,9,90,62,13,7,18,45,Station_8,5G_iptv,PARENT_7
DEV_003_2024-09-07 10:00:00,2024-09-07 10:00:00,DEV_003,20,98,19,62,14,32,9,49,90,Station_4,6G_iptv,PARENT_8
DEV_003_2024-09-07 11:00:00,2024-09-07 11:00:00,DEV_003,30,8,90,79,10,36,24,8,1,Station_6,5G,PARENT_7
DEV_003_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_003,74,33,31,77,62,35,44,47,32,Station_6,5G_iptv,PARENT_6
DEV_003_2024-09-07 13:00:00,2024-09-07 13:00:00,DEV_003,41,80,12,73,40,69,58,3,43,Station_8,5G_H_guest,PARENT_8
DEV_003_2024-09-07 14:00:00,2024-09-07 14:00:00,DEV_003,19,23,43,24,3,97,87,14,83,Station_1,5G_iptv,PARENT_7
DEV_003_2024-09-07 15:00:00,2024-09-07 15:00:00,DEV_003,46,82,16,58,14,85,43,91,25,Station_6,5G_H_iptv,PARENT_9
DEV_003_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_003,92,82,11,66,22,87,20,29,90,Station_9,6G,PARENT_3
DEV_003_2024-09-07 17:00:00,2024-09-07 17:00:00,DEV_003,98,48,27,94,31,92,25,49,70,Station_8,5G_iptv,PARENT_6
DEV_003_2024-09-07 18:00:00,2024-09-07 18:00:00,DEV_003,35,89,21,47,60,17,90,17,71,Station_9,Ether,PARENT_6
DEV_003_2024-09-07 19:00:00,2024-09-07 19:00:00,DEV_003,10,81,78,3,59,80,69,48,23,Station_5,5G_H,PARENT_5
DEV_003_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_003,38,82,76,85,7,17,9,88,75,Station_9,5G,PARENT_7
DEV_003_2024-09-07 21:00:00,2024-09-07 21:00:00,DEV_003,17,41,64,83,57,85,45,73,8,Station_7,5G_H_iptv,PARENT_6
DEV_003_2024-09-07 22:00:00,2024-09-07 22:00:00,DEV_003,66,44,48,71,2,80,6,80,89,Station_4,5G_H_guest,PARENT_2
DEV_003_2024-09-07 23:00:00,2024-09-07 23:00:00,DEV_003,21,3,98,93,84,23,37,72,36,Station_7,6G,PARENT_5
DEV_003_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_003,35,22,47,36,15,96,82,58,31,Station_9,2.4G_guest,PARENT_9
DEV_003_2024-09-08 01:00:00,2024-09-08 01:00:00,DEV_003,74,78,26,83,30,12,31,82,2,Station_4,5G_H_iptv,PARENT_7
DEV_003_2024-09-08 02:00:00,2024-09-08 02:00:00,DEV_003,20,34,60,34,37,67,99,97,19,Station_4,6G_guest,PARENT_6
DEV_003_2024-09-08 03:00:00,2024-09-08 03:00:00,DEV_003,27,38,92,21,84,38,13,93,21,Station_1,6G_guest,PARENT_2
DEV_003_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_003,78,57,52,22,98,17,97,97,26,Station_7,5G_iptv,PARENT_9
DEV_003_2024-09-08 05:00:00,2024-09-08 05:00:00,DEV_003,51,30,41,33,50,63,39,28,18,Station_4,Ether,PARENT_2
DEV_003_2024-09-08 06:00:00,2024-09-08 06:00:00,DEV_003,43,78,13,1,32,89,10,15,93,Station_1,5G_H_iptv,PARENT_6
DEV_003_2024-09-08 07:00:00,2024-09-08 07:00:00,DEV_003,23,71,50,59,36,6,66,32,53,Station_5,2.4G,PARENT_2
DEV_003_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_003,43,87,40,68,4,75,46,20,14,Station_3,6G,PARENT_1
DEV_003_2024-09-08 09:00:00,2024-09-08 09:00:00,DEV_003,3,79,21,61,2,21,10,91,19,Station_5,6G_guest,PARENT_1
DEV_003_2024-09-08 10:00:00,2024-09-08 10:00:00,DEV_003,80,8,57,89,24,47,82,21,8,Station_3,MoCA,PARENT_4
DEV_003_2024-09-08 11:00:00,2024-09-08 11:00:00,DEV_003,26,20,78,97,73,87,45,64,30,Station_5,Ether,PARENT_4
DEV_003_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_003,59,75,12,45,66,68,32,41,98,Station_7,5G,PARENT_5
DEV_003_2024-09-08 13:00:00,2024-09-08 13:00:00,DEV_003,63,4,41,12,99,37,98,55,45,Station_7,6G_guest,PARENT_5
DEV_003_2024-09-08 14:00:00,2024-09-08 14:00:00,DEV_003,40,52,11,96,50,50,96,95,48,Station_4,5G_guest,PARENT_6
DEV_003_2024-09-08 15:00:00,2024-09-08 15:00:00,DEV_003,50,82,85,3,41,92,28,32,39,Station_8,5G_guest,PARENT_7
DEV_003_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_003,63,19,1,33,33,11,60,87,28,Station_6,MoCA,PARENT_8
DEV_003_2024-09-08 17:00:00,2024-09-08 17:00:00,DEV_003,9,83,8,59,69,78,45,33,38,Station_3,5G_H,PARENT_6
DEV_003_2024-09-08 18:00:00,2024-09-08 18:00:00,DEV_003,34,70,99,39,16,31,49,44,79,Station_1,5G_H_iptv,PARENT_4
DEV_003_2024-09-08 19:00:00,2024-09-08 19:00:00,DEV_003,87,84,96,46,89,72,53,33,45,Station_3,5G_H,PARENT_7
DEV_003_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_003,40,81,50,74,15,21,21,60,93,Station_9,MoCA,PARENT_5
DEV_003_2024-09-08 21:00:00,2024-09-08 21:00:00,DEV_003,55,69,79,26,75,55,85,46,62,Station_6,5G_guest,PARENT_4
DEV_003_2024-09-08 22:00:00,2024-09-08 22:00:00,DEV_003,45,85,54,81,53,95,44,87,96,Station_8,2.4G_guest,PARENT_2
DEV_003_2024-09-08 23:00:00,2024-09-08 23:00:00,DEV_003,52,6,38,86,33,75,55,23,44,Station_4,6G_guest,PARENT_3
DEV_003_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_003,59,43,43,77,13,72,43,13,35,Station_5,5G_H,PARENT_6
DEV_003_2024-09-09 01:00:00,2024-09-09 01:00:00,DEV_003,50,49,74,90,91,86,13,39,55,Station_7,2.4G_guest,PARENT_6
DEV_003_2024-09-09 02:00:00,2024-09-09 02:00:00,DEV_003,3,72,62,31,77,72,37,24,92,Station_4,Ether,PARENT_4
DEV_003_2024-09-09 03:00:00,2024-09-09 03:00:00,DEV_003,40,58,97,45,53,27,36,68,13,Station_3,6G_guest,PARENT_5
DEV_003_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_003,70,51,14,43,3,25,34,70,56,Station_8,MoCA,PARENT_1
DEV_003_2024-09-09 05:00:00,2024-09-09 05:00:00,DEV_003,72,81,77,19,35,97,33,42,54,Station_7,5G_guest,PARENT_6
DEV_003_2024-09-09 06:00:00,2024-09-09 06:00:00,DEV_003,73,52,47,65,42,55,59,66,74,Station_6,2.4G,PARENT_7
DEV_003_2024-09-09 07:00:00,2024-09-09 07:00:00,DEV_003,73,11,36,56,42,99,13,83,99,Station_4,Ether,PARENT_5
DEV_003_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_003,12,62,92,93,39,44,4,31,24,Station_3,MoCA,PARENT_2
DEV_003_2024-09-09 09:00:00,2024-09-09 09:00:00,DEV_003,90,20,8,33,68,38,86,36,48,Station_8,5G_H_guest,PARENT_2
DEV_003_2024-09-09 10:00:00,2024-09-09 10:00:00,DEV_003,99,60,24,17,65,39,79,55,77,Station_7,6G_iptv,PARENT_5
DEV_003_2024-09-09 11:00:00,2024-09-09 11:00:00,DEV_003,28,32,7,78,14,96,73,54,70,Station_3,5G_iptv,PARENT_6
DEV_003_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_003,12,85,3,67,38,86,85,16,82,Station_4,2.4G_guest,PARENT_2
DEV_003_2024-09-09 13:00:00,2024-09-09 13:00:00,DEV_003,94,31,28,73,59,11,35,49,44,Station_5,5G_H_iptv,PARENT_3
DEV_003_2024-09-09 14:00:00,2024-09-09 14:00:00,DEV_003,17,90,4,33,62,81,72,90,43,Station_4,5G_H_iptv,PARENT_3
DEV_003_2024-09-09 15:00:00,2024-09-09 15:00:00,DEV_003,38,43,48,42,57,54,97,17,51,Station_9,2.4G_guest,PARENT_8
DEV_003_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_003,63,56,70,9,75,5,72,64,52,Station_3,2.4G_guest,PARENT_9
DEV_003_2024-09-09 17:00:00,2024-09-09 17:00:00,DEV_003,39,6,88,21,36,18,1,93,17,Station_5,5G_H_guest,PARENT_7
DEV_003_2024-09-09 18:00:00,2024-09-09 18:00:00,DEV_003,6,58,45,72,89,83,48,50,56,Station_9,5G_H_iptv,PARENT_5
DEV_003_2024-09-09 19:00:00,2024-09-09 19:00:00,DEV_003,31,65,61,10,53,64,64,50,86,Station_1,6G_iptv,PARENT_7
DEV_003_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_003,28,93,58,40,64,97,2,43,97,Station_8,6G_guest,PARENT_8
DEV_003_2024-09-09 21:00:00,2024-09-09 21:00:00,DEV_003,92,35,74,98,69,63,41,64,18,Station_6,6G,PARENT_1
DEV_003_2024-09-09 22:00:00,2024-09-09 22:00:00,DEV_003,23,4,7,41,49,17,75,55,27,Station_2,5G_H,PARENT_4
DEV_003_2024-09-09 23:00:00,2024-09-09 23:00:00,DEV_003,23,26,34,32,6,65,59,50,68,Station_9,5G_H,PARENT_8
DEV_003_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_003,46,84,78,33,58,3,79,27,83,Station_1,5G_H_guest,PARENT_3
DEV_003_2024-09-10 01:00:00,2024-09-10 01:00:00,DEV_003,52,97,51,17,77,52,48,58,76,Station_7,5G_H_iptv,PARENT_8
DEV_003_2024-09-10 02:00:00,2024-09-10 02:00:00,DEV_003,81,11,86,8,48,32,29,96,5,Station_1,6G_iptv,PARENT_9
DEV_003_2024-09-10 03:00:00,2024-09-10 03:00:00,DEV_003,42,10,26,26,85,23,44,76,39,Station_4,5G_H,PARENT_9
DEV_003_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_003,76,32,18,42,84,2,60,33,46,Station_1,6G,PARENT_4
DEV_003_2024-09-10 05:00:00,2024-09-10 05:00:00,DEV_003,94,57,62,63,73,31,39,85,22,Station_1,2.4G,PARENT_1
DEV_003_2024-09-10 06:00:00,2024-09-10 06:00:00,DEV_003,64,10,5,68,38,96,41,84,73,Station_4,5G_H,PARENT_8
DEV_003_2024-09-10 07:00:00,2024-09-10 07:00:00,DEV_003,98,30,74,78,34,59,56,86,13,Station_3,6G_guest,PARENT_7
DEV_003_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_003,44,6,99,62,68,78,70,17,49,Station_8,6G_iptv,PARENT_8
DEV_003_2024-09-10 09:00:00,2024-09-10 09:00:00,DEV_003,12,57,29,88,62,98,78,27,5,Station_8,5G_H_guest,PARENT_6
DEV_003_2024-09-10 10:00:00,2024-09-10 10:00:00,DEV_003,15,25,16,44,95,47,33,84,26,Station_3,5G_H,PARENT_7
DEV_003_2024-09-10 11:00:00,2024-09-10 11:00:00,DEV_003,45,95,81,43,72,23,47,44,82,Station_4,Ether,PARENT_9
DEV_003_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_003,13,88,81,65,27,20,18,64,9,Station_6,6G,PARENT_9
DEV_003_2024-09-10 13:00:00,2024-09-10 13:00:00,DEV_003,1,59,36,18,47,79,33,22,88,Station_1,6G,PARENT_6
DEV_003_2024-09-10 14:00:00,2024-09-10 14:00:00,DEV_003,97,63,78,88,38,49,17,57,14,Station_3,5G_H,PARENT_8
DEV_003_2024-09-10 15:00:00,2024-09-10 15:00:00,DEV_003,23,44,66,3,53,13,69,82,1,Station_5,5G,PARENT_3
DEV_003_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_003,56,98,2,84,31,13,14,76,57,Station_8,5G_H,PARENT_2
DEV_003_2024-09-10 17:00:00,2024-09-10 17:00:00,DEV_003,94,27,70,60,70,15,56,88,62,Station_7,6G_iptv,PARENT_5
DEV_003_2024-09-10 18:00:00,2024-09-10 18:00:00,DEV_003,14,3,63,43,99,12,55,85,59,Station_6,5G_guest,PARENT_4
DEV_003_2024-09-10 19:00:00,2024-09-10 19:00:00,DEV_003,91,69,45,55,59,75,60,61,42,Station_6,5G,PARENT_6
DEV_003_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_003,65,84,88,20,47,48,93,24,72,Station_2,5G_guest,PARENT_7
DEV_003_2024-09-10 21:00:00,2024-09-10 21:00:00,DEV_003,55,97,94,55,70,63,77,19,58,Station_1,5G,PARENT_8
DEV_003_2024-09-10 22:00:00,2024-09-10 22:00:00,DEV_003,47,14,3,69,14,8,89,15,45,Station_5,6G_iptv,PARENT_3
DEV_003_2024-09-10 23:00:00,2024-09-10 23:00:00,DEV_003,11,9,4,79,91,95,50,80,96,Station_2,5G_guest,PARENT_5
DEV_003_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_003,57,88,49,83,94,76,69,28,39,Station_2,6G_guest,PARENT_7
DEV_003_2024-09-11 01:00:00,2024-09-11 01:00:00,DEV_003,69,54,80,73,97,37,33,49,1,Station_5,5G_H_guest,PARENT_2
DEV_003_2024-09-11 02:00:00,2024-09-11 02:00:00,DEV_003,85,44,78,70,63,3,18,37,20,Station_4,2.4G_guest,PARENT_8
DEV_003_2024-09-11 03:00:00,2024-09-11 03:00:00,DEV_003,78,17,99,57,99,49,96,53,10,Station_8,6G,PARENT_9
DEV_003_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_003,90,21,1,36,83,6,18,72,11,Station_5,5G,PARENT_8
DEV_003_2024-09-11 05:00:00,2024-09-11 05:00:00,DEV_003,85,84,9,2,4,90,12,83,83,Station_3,5G_H_iptv,PARENT_7
DEV_003_2024-09-11 06:00:00,2024-09-11 06:00:00,DEV_003,60,34,59,72,6,32,28,75,92,Station_9,5G_H,PARENT_4
DEV_003_2024-09-11 07:00:00,2024-09-11 07:00:00,DEV_003,88,27,53,11,87,22,5,34,62,Station_5,5G_H_iptv,PARENT_7
DEV_003_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_003,43,61,38,32,69,62,25,33,64,Station_7,MoCA,PARENT_4
DEV_003_2024-09-11 09:00:00,2024-09-11 09:00:00,DEV_003,22,10,72,55,96,28,9,31,87,Station_3,5G_H_iptv,PARENT_4
DEV_003_2024-09-11 10:00:00,2024-09-11 10:00:00,DEV_003,99,57,31,75,43,74,9,42,74,Station_2,5G,PARENT_5
DEV_003_2024-09-11 11:00:00,2024-09-11 11:00:00,DEV_003,71,84,84,72,17,89,77,77,48,Station_2,5G,PARENT_9
DEV_003_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_003,63,11,84,56,73,45,45,29,34,Station_5,5G_H_iptv,PARENT_9
DEV_003_2024-09-11 13:00:00,2024-09-11 13:00:00,DEV_003,20,72,70,18,72,60,55,52,25,Station_2,6G_guest,PARENT_9
DEV_003_2024-09-11 14:00:00,2024-09-11 14:00:00,DEV_003,20,70,37,16,35,55,65,78,14,Station_8,2.4G,PARENT_6
DEV_003_2024-09-11 15:00:00,2024-09-11 15:00:00,DEV_003,82,9,77,59,51,51,19,62,10,Station_6,2.4G,PARENT_9
DEV_003_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_003,17,87,91,73,69,83,93,15,56,Station_3,5G,PARENT_3
DEV_003_2024-09-11 17:00:00,2024-09-11 17:00:00,DEV_003,47,30,12,15,38,28,49,87,47,Station_6,6G_guest,PARENT_6
DEV_003_2024-09-11 18:00:00,2024-09-11 18:00:00,DEV_003,83,32,1,16,11,95,97,55,36,Station_6,2.4G_guest,PARENT_8
DEV_003_2024-09-11 19:00:00,2024-09-11 19:00:00,DEV_003,60,89,98,17,33,30,13,12,32,Station_7,6G_iptv,PARENT_2
DEV_003_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_003,83,12,4,89,26,82,64,30,34,Station_1,5G_H,PARENT_8
DEV_003_2024-09-11 21:00:00,2024-09-11 21:00:00,DEV_003,69,51,65,98,9,8,36,93,99,Station_5,5G_H,PARENT_6
DEV_003_2024-09-11 22:00:00,2024-09-11 22:00:00,DEV_003,74,11,8,68,18,84,3,15,60,Station_8,5G_H,PARENT_7
DEV_003_2024-09-11 23:00:00,2024-09-11 23:00:00,DEV_003,70,84,32,6,16,66,82,90,84,Station_5,6G_iptv,PARENT_2
DEV_003_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_003,8,5,88,41,93,59,9,42,18,Station_2,6G_guest,PARENT_5
DEV_003_2024-09-12 01:00:00,2024-09-12 01:00:00,DEV_003,74,20,38,41,87,62,20,23,50,Station_5,6G_guest,PARENT_9
DEV_003_2024-09-12 02:00:00,2024-09-12 02:00:00,DEV_003,43,36,3,61,54,36,45,99,29,Station_1,5G_H_iptv,PARENT_8
DEV_003_2024-09-12 03:00:00,2024-09-12 03:00:00,DEV_003,73,22,69,44,41,36,96,30,49,Station_7,MoCA,PARENT_9
DEV_003_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_003,4,76,35,84,17,86,7,62,58,Station_5,5G_guest,PARENT_8
DEV_003_2024-09-12 05:00:00,2024-09-12 05:00:00,DEV_003,9,6,19,86,20,64,84,91,27,Station_7,5G_guest,PARENT_8
DEV_003_2024-09-12 06:00:00,2024-09-12 06:00:00,DEV_003,8,67,11,66,1,7,24,12,63,Station_8,6G_iptv,PARENT_6
DEV_003_2024-09-12 07:00:00,2024-09-12 07:00:00,DEV_003,88,24,38,71,10,30,88,27,30,Station_5,Ether,PARENT_8
DEV_003_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_003,17,48,64,61,13,82,21,76,2,Station_4,5G_iptv,PARENT_5
DEV_003_2024-09-12 09:00:00,2024-09-12 09:00:00,DEV_003,95,16,13,4,2,65,26,30,38,Station_4,5G_H_guest,PARENT_4
DEV_003_2024-09-12 10:00:00,2024-09-12 10:00:00,DEV_003,83,91,10,41,81,61,2,81,7,Station_1,6G,PARENT_1
DEV_003_2024-09-12 11:00:00,2024-09-12 11:00:00,DEV_003,86,86,27,80,60,53,36,80,24,Station_3,MoCA,PARENT_1
DEV_003_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_003,69,35,83,47,98,96,89,59,61,Station_6,5G_iptv,PARENT_2
DEV_003_2024-09-12 13:00:00,2024-09-12 13:00:00,DEV_003,27,97,72,94,90,15,36,57,76,Station_9,6G_iptv,PARENT_4
DEV_003_2024-09-12 14:00:00,2024-09-12 14:00:00,DEV_003,67,96,90,4,65,5,2,46,75,Station_9,5G_H,PARENT_7
DEV_003_2024-09-12 15:00:00,2024-09-12 15:00:00,DEV_003,63,61,15,73,42,50,94,93,51,Station_9,5G_guest,PARENT_2
DEV_003_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_003,22,94,74,69,69,66,94,64,22,Station_7,5G_H_guest,PARENT_5
DEV_003_2024-09-12 17:00:00,2024-09-12 17:00:00,DEV_003,27,47,91,21,31,79,38,39,36,Station_4,MoCA,PARENT_5
DEV_003_2024-09-12 18:00:00,2024-09-12 18:00:00,DEV_003,34,5,20,63,45,42,13,9,5,Station_6,MoCA,PARENT_5
DEV_003_2024-09-12 19:00:00,2024-09-12 19:00:00,DEV_003,28,43,70,41,44,29,68,82,79,Station_9,2.4G_guest,PARENT_2
DEV_003_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_003,17,98,19,29,86,78,66,45,71,Station_6,5G_H,PARENT_5
DEV_003_2024-09-12 21:00:00,2024-09-12 21:00:00,DEV_003,35,4,53,85,25,20,71,71,96,Station_6,MoCA,PARENT_9
DEV_003_2024-09-12 22:00:00,2024-09-12 22:00:00,DEV_003,6,51,27,18,12,28,19,43,81,Station_3,5G,PARENT_4
DEV_003_2024-09-12 23:00:00,2024-09-12 23:00:00,DEV_003,97,85,99,42,91,45,30,39,46,Station_8,5G,PARENT_8
DEV_003_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_003,54,86,37,90,22,97,24,69,88,Station_3,5G_H_iptv,PARENT_6
DEV_003_2024-09-13 01:00:00,2024-09-13 01:00:00,DEV_003,33,17,62,12,30,90,13,6,67,Station_5,5G_H_iptv,PARENT_4
DEV_003_2024-09-13 02:00:00,2024-09-13 02:00:00,DEV_003,42,44,19,73,15,87,85,39,5,Station_3,5G_guest,PARENT_9
DEV_003_2024-09-13 03:00:00,2024-09-13 03:00:00,DEV_003,31,79,28,38,52,15,19,35,82,Station_2,5G_H,PARENT_8
DEV_003_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_003,20,75,9,5,11,91,2,52,20,Station_5,2.4G,PARENT_2
DEV_003_2024-09-13 05:00:00,2024-09-13 05:00:00,DEV_003,30,48,1,35,26,96,9,40,21,Station_4,5G,PARENT_7
DEV_003_2024-09-13 06:00:00,2024-09-13 06:00:00,DEV_003,94,24,50,54,94,84,28,4,12,Station_3,5G,PARENT_4
DEV_003_2024-09-13 07:00:00,2024-09-13 07:00:00,DEV_003,15,28,37,9,14,96,67,82,50,Station_9,5G_iptv,PARENT_4
DEV_003_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_003,70,26,48,54,41,1,21,78,72,Station_7,5G_H_guest,PARENT_1
DEV_003_2024-09-13 09:00:00,2024-09-13 09:00:00,DEV_003,18,15,42,20,16,7,93,95,93,Station_1,5G,PARENT_2
DEV_003_2024-09-13 10:00:00,2024-09-13 10:00:00,DEV_003,78,95,18,64,25,75,26,69,16,Station_8,6G_iptv,PARENT_6
DEV_003_2024-09-13 11:00:00,2024-09-13 11:00:00,DEV_003,27,49,90,73,47,71,50,46,8,Station_2,Ether,PARENT_4
DEV_003_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_003,88,98,42,11,59,52,74,93,49,Station_8,5G_H,PARENT_6
DEV_003_2024-09-13 13:00:00,2024-09-13 13:00:00,DEV_003,74,30,55,28,93,51,89,27,98,Station_4,Ether,PARENT_4
DEV_003_2024-09-13 14:00:00,2024-09-13 14:00:00,DEV_003,48,98,16,60,47,75,15,94,56,Station_1,5G_H_guest,PARENT_2
DEV_003_2024-09-13 15:00:00,2024-09-13 15:00:00,DEV_003,48,68,14,80,15,98,77,17,92,Station_4,5G_H_iptv,PARENT_1
DEV_003_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_003,8,2,56,65,55,69,99,86,80,Station_5,5G_H_guest,PARENT_4
DEV_003_2024-09-13 17:00:00,2024-09-13 17:00:00,DEV_003,9,14,74,22,16,41,67,28,94,Station_1,6G_guest,PARENT_6
