distid,createdts,sn,event_type,event_action
DEV_002_2024-12-06 12:00:00,2024-12-06 12:00:00,DEV_002,87,6
DEV_002_2024-12-06 14:00:00,2024-12-06 14:00:00,DEV_002,33,36
DEV_002_2024-12-06 16:00:00,2024-12-06 16:00:00,DEV_002,27,30
DEV_002_2024-12-06 18:00:00,2024-12-06 18:00:00,DEV_002,13,9
DEV_002_2024-12-06 20:00:00,2024-12-06 20:00:00,DEV_002,41,50
DEV_002_2024-12-06 22:00:00,2024-12-06 22:00:00,DEV_002,70,51
DEV_002_2024-12-07 00:00:00,2024-12-07 00:00:00,DEV_002,1,80
DEV_002_2024-12-07 02:00:00,2024-12-07 02:00:00,DEV_002,94,83
DEV_002_2024-12-07 04:00:00,2024-12-07 04:00:00,DEV_002,77,77
DEV_002_2024-12-07 06:00:00,2024-12-07 06:00:00,DEV_002,86,61
DEV_002_2024-12-07 08:00:00,2024-12-07 08:00:00,DEV_002,89,8
DEV_002_2024-12-07 10:00:00,2024-12-07 10:00:00,DEV_002,79,47
DEV_002_2024-12-07 12:00:00,2024-12-07 12:00:00,DEV_002,38,49
DEV_002_2024-12-07 14:00:00,2024-12-07 14:00:00,DEV_002,21,46
DEV_002_2024-12-07 16:00:00,2024-12-07 16:00:00,DEV_002,88,80
DEV_002_2024-12-07 18:00:00,2024-12-07 18:00:00,DEV_002,81,75
DEV_002_2024-12-07 20:00:00,2024-12-07 20:00:00,DEV_002,28,37
DEV_002_2024-12-07 22:00:00,2024-12-07 22:00:00,DEV_002,82,38
DEV_002_2024-12-08 00:00:00,2024-12-08 00:00:00,DEV_002,83,68
DEV_002_2024-12-08 02:00:00,2024-12-08 02:00:00,DEV_002,99,96
DEV_002_2024-12-08 04:00:00,2024-12-08 04:00:00,DEV_002,23,34
DEV_002_2024-12-08 06:00:00,2024-12-08 06:00:00,DEV_002,49,77
DEV_002_2024-12-08 08:00:00,2024-12-08 08:00:00,DEV_002,65,64
DEV_002_2024-12-08 10:00:00,2024-12-08 10:00:00,DEV_002,80,24
DEV_002_2024-12-08 12:00:00,2024-12-08 12:00:00,DEV_002,71,90
DEV_002_2024-12-08 14:00:00,2024-12-08 14:00:00,DEV_002,55,12
DEV_002_2024-12-08 16:00:00,2024-12-08 16:00:00,DEV_002,46,46
DEV_002_2024-12-08 18:00:00,2024-12-08 18:00:00,DEV_002,47,39
DEV_002_2024-12-08 20:00:00,2024-12-08 20:00:00,DEV_002,95,25
DEV_002_2024-12-08 22:00:00,2024-12-08 22:00:00,DEV_002,22,66
DEV_002_2024-12-09 00:00:00,2024-12-09 00:00:00,DEV_002,26,94
DEV_002_2024-12-09 02:00:00,2024-12-09 02:00:00,DEV_002,31,93
DEV_002_2024-12-09 04:00:00,2024-12-09 04:00:00,DEV_002,22,32
DEV_002_2024-12-09 06:00:00,2024-12-09 06:00:00,DEV_002,50,50
DEV_002_2024-12-09 08:00:00,2024-12-09 08:00:00,DEV_002,67,94
DEV_002_2024-12-09 10:00:00,2024-12-09 10:00:00,DEV_002,53,7
DEV_002_2024-12-09 12:00:00,2024-12-09 12:00:00,DEV_002,48,31
DEV_002_2024-12-09 14:00:00,2024-12-09 14:00:00,DEV_002,97,56
DEV_002_2024-12-09 16:00:00,2024-12-09 16:00:00,DEV_002,31,44
DEV_002_2024-12-09 18:00:00,2024-12-09 18:00:00,DEV_002,57,4
DEV_002_2024-12-09 20:00:00,2024-12-09 20:00:00,DEV_002,43,52
DEV_002_2024-12-09 22:00:00,2024-12-09 22:00:00,DEV_002,63,69
DEV_002_2024-12-10 00:00:00,2024-12-10 00:00:00,DEV_002,63,47
DEV_002_2024-12-10 02:00:00,2024-12-10 02:00:00,DEV_002,47,76
DEV_002_2024-12-10 04:00:00,2024-12-10 04:00:00,DEV_002,52,35
DEV_002_2024-12-10 06:00:00,2024-12-10 06:00:00,DEV_002,20,62
DEV_002_2024-12-10 08:00:00,2024-12-10 08:00:00,DEV_002,29,80
DEV_002_2024-12-10 10:00:00,2024-12-10 10:00:00,DEV_002,62,17
DEV_002_2024-12-10 12:00:00,2024-12-10 12:00:00,DEV_002,11,30
DEV_002_2024-12-10 14:00:00,2024-12-10 14:00:00,DEV_002,59,71
DEV_002_2024-12-10 16:00:00,2024-12-10 16:00:00,DEV_002,86,76
DEV_002_2024-12-10 18:00:00,2024-12-10 18:00:00,DEV_002,79,10
DEV_002_2024-12-10 20:00:00,2024-12-10 20:00:00,DEV_002,80,95
DEV_002_2024-12-10 22:00:00,2024-12-10 22:00:00,DEV_002,39,79
DEV_002_2024-12-11 00:00:00,2024-12-11 00:00:00,DEV_002,62,11
DEV_002_2024-12-11 02:00:00,2024-12-11 02:00:00,DEV_002,77,98
DEV_002_2024-12-11 04:00:00,2024-12-11 04:00:00,DEV_002,4,97
DEV_002_2024-12-11 06:00:00,2024-12-11 06:00:00,DEV_002,71,48
DEV_002_2024-12-11 08:00:00,2024-12-11 08:00:00,DEV_002,42,25
DEV_002_2024-12-11 10:00:00,2024-12-11 10:00:00,DEV_002,45,27
DEV_002_2024-12-11 12:00:00,2024-12-11 12:00:00,DEV_002,64,3
DEV_002_2024-12-11 14:00:00,2024-12-11 14:00:00,DEV_002,17,82
DEV_002_2024-12-11 16:00:00,2024-12-11 16:00:00,DEV_002,42,50
DEV_002_2024-12-11 18:00:00,2024-12-11 18:00:00,DEV_002,22,73
DEV_002_2024-12-11 20:00:00,2024-12-11 20:00:00,DEV_002,7,29
DEV_002_2024-12-11 22:00:00,2024-12-11 22:00:00,DEV_002,40,6
DEV_002_2024-12-12 00:00:00,2024-12-12 00:00:00,DEV_002,19,34
DEV_002_2024-12-12 02:00:00,2024-12-12 02:00:00,DEV_002,70,35
DEV_002_2024-12-12 04:00:00,2024-12-12 04:00:00,DEV_002,22,63
DEV_002_2024-12-12 06:00:00,2024-12-12 06:00:00,DEV_002,55,86
DEV_002_2024-12-12 08:00:00,2024-12-12 08:00:00,DEV_002,68,61
DEV_002_2024-12-12 10:00:00,2024-12-12 10:00:00,DEV_002,73,43
DEV_002_2024-12-12 12:00:00,2024-12-12 12:00:00,DEV_002,9,71
DEV_002_2024-12-12 14:00:00,2024-12-12 14:00:00,DEV_002,1,5
DEV_002_2024-12-12 16:00:00,2024-12-12 16:00:00,DEV_002,40,70
DEV_002_2024-12-12 18:00:00,2024-12-12 18:00:00,DEV_002,38,42
DEV_002_2024-12-12 20:00:00,2024-12-12 20:00:00,DEV_002,88,79
DEV_002_2024-12-12 22:00:00,2024-12-12 22:00:00,DEV_002,64,2
DEV_002_2024-12-13 00:00:00,2024-12-13 00:00:00,DEV_002,46,66
DEV_002_2024-12-13 02:00:00,2024-12-13 02:00:00,DEV_002,89,23
DEV_002_2024-12-13 04:00:00,2024-12-13 04:00:00,DEV_002,53,10
DEV_002_2024-12-13 06:00:00,2024-12-13 06:00:00,DEV_002,77,81
DEV_002_2024-12-13 08:00:00,2024-12-13 08:00:00,DEV_002,68,65
DEV_002_2024-12-13 10:00:00,2024-12-13 10:00:00,DEV_002,10,80
DEV_002_2024-12-13 12:00:00,2024-12-13 12:00:00,DEV_002,35,35
DEV_002_2024-12-13 14:00:00,2024-12-13 14:00:00,DEV_002,53,28
DEV_002_2024-12-13 16:00:00,2024-12-13 16:00:00,DEV_002,98,32
DEV_002_2024-12-13 18:00:00,2024-12-13 18:00:00,DEV_002,60,14
DEV_002_2024-12-13 20:00:00,2024-12-13 20:00:00,DEV_002,6,20
DEV_002_2024-12-13 22:00:00,2024-12-13 22:00:00,DEV_002,32,17
DEV_002_2024-12-14 00:00:00,2024-12-14 00:00:00,DEV_002,16,45
DEV_002_2024-12-14 02:00:00,2024-12-14 02:00:00,DEV_002,88,92
DEV_002_2024-12-14 04:00:00,2024-12-14 04:00:00,DEV_002,35,43
DEV_002_2024-12-14 06:00:00,2024-12-14 06:00:00,DEV_002,64,76
DEV_002_2024-12-14 08:00:00,2024-12-14 08:00:00,DEV_002,10,9
DEV_002_2024-12-14 10:00:00,2024-12-14 10:00:00,DEV_002,41,44
DEV_002_2024-12-14 12:00:00,2024-12-14 12:00:00,DEV_002,20,93
DEV_002_2024-12-14 14:00:00,2024-12-14 14:00:00,DEV_002,28,56
DEV_002_2024-12-14 16:00:00,2024-12-14 16:00:00,DEV_002,57,1
DEV_002_2024-12-14 18:00:00,2024-12-14 18:00:00,DEV_002,34,4
DEV_002_2024-12-14 20:00:00,2024-12-14 20:00:00,DEV_002,25,75
DEV_002_2024-12-14 22:00:00,2024-12-14 22:00:00,DEV_002,35,36
DEV_002_2024-12-15 00:00:00,2024-12-15 00:00:00,DEV_002,3,37
DEV_002_2024-12-15 02:00:00,2024-12-15 02:00:00,DEV_002,82,11
DEV_002_2024-12-15 04:00:00,2024-12-15 04:00:00,DEV_002,12,25
DEV_002_2024-12-15 06:00:00,2024-12-15 06:00:00,DEV_002,31,7
DEV_002_2024-12-15 08:00:00,2024-12-15 08:00:00,DEV_002,89,3
DEV_002_2024-12-15 10:00:00,2024-12-15 10:00:00,DEV_002,98,58
DEV_002_2024-12-15 12:00:00,2024-12-15 12:00:00,DEV_002,58,40
DEV_002_2024-12-15 14:00:00,2024-12-15 14:00:00,DEV_002,59,61
DEV_002_2024-12-15 16:00:00,2024-12-15 16:00:00,DEV_002,57,76
DEV_002_2024-12-15 18:00:00,2024-12-15 18:00:00,DEV_002,89,78
DEV_002_2024-12-15 20:00:00,2024-12-15 20:00:00,DEV_002,20,27
DEV_002_2024-12-15 22:00:00,2024-12-15 22:00:00,DEV_002,38,68
DEV_002_2024-12-16 00:00:00,2024-12-16 00:00:00,DEV_002,43,34
DEV_002_2024-12-16 02:00:00,2024-12-16 02:00:00,DEV_002,61,33
DEV_002_2024-12-16 04:00:00,2024-12-16 04:00:00,DEV_002,35,93
DEV_002_2024-12-16 06:00:00,2024-12-16 06:00:00,DEV_002,64,23
DEV_002_2024-12-16 08:00:00,2024-12-16 08:00:00,DEV_002,86,44
DEV_002_2024-12-16 10:00:00,2024-12-16 10:00:00,DEV_002,71,14
DEV_002_2024-12-16 12:00:00,2024-12-16 12:00:00,DEV_002,38,48
DEV_002_2024-12-16 14:00:00,2024-12-16 14:00:00,DEV_002,69,98
DEV_002_2024-12-16 16:00:00,2024-12-16 16:00:00,DEV_002,62,9
DEV_002_2024-12-16 18:00:00,2024-12-16 18:00:00,DEV_002,3,86
DEV_002_2024-12-16 20:00:00,2024-12-16 20:00:00,DEV_002,2,88
DEV_002_2024-12-16 22:00:00,2024-12-16 22:00:00,DEV_002,12,5
DEV_002_2024-12-17 00:00:00,2024-12-17 00:00:00,DEV_002,2,56
DEV_002_2024-12-17 02:00:00,2024-12-17 02:00:00,DEV_002,86,84
DEV_002_2024-12-17 04:00:00,2024-12-17 04:00:00,DEV_002,96,10
DEV_002_2024-12-17 06:00:00,2024-12-17 06:00:00,DEV_002,65,97
DEV_002_2024-12-17 08:00:00,2024-12-17 08:00:00,DEV_002,31,30
DEV_002_2024-12-17 10:00:00,2024-12-17 10:00:00,DEV_002,10,26
DEV_002_2024-12-17 12:00:00,2024-12-17 12:00:00,DEV_002,82,41
DEV_002_2024-12-17 14:00:00,2024-12-17 14:00:00,DEV_002,35,63
DEV_002_2024-12-17 16:00:00,2024-12-17 16:00:00,DEV_002,76,9
DEV_002_2024-12-17 18:00:00,2024-12-17 18:00:00,DEV_002,35,52
DEV_002_2024-12-17 20:00:00,2024-12-17 20:00:00,DEV_002,22,29
DEV_002_2024-12-17 22:00:00,2024-12-17 22:00:00,DEV_002,4,66
DEV_002_2024-12-18 00:00:00,2024-12-18 00:00:00,DEV_002,70,71
DEV_002_2024-12-18 02:00:00,2024-12-18 02:00:00,DEV_002,58,53
DEV_002_2024-12-18 04:00:00,2024-12-18 04:00:00,DEV_002,34,25
DEV_002_2024-12-18 06:00:00,2024-12-18 06:00:00,DEV_002,60,67
DEV_002_2024-12-18 08:00:00,2024-12-18 08:00:00,DEV_002,10,93
DEV_002_2024-12-18 10:00:00,2024-12-18 10:00:00,DEV_002,27,41
DEV_002_2024-12-18 12:00:00,2024-12-18 12:00:00,DEV_002,86,30
DEV_002_2024-12-18 14:00:00,2024-12-18 14:00:00,DEV_002,65,36
DEV_002_2024-12-18 16:00:00,2024-12-18 16:00:00,DEV_002,28,75
DEV_002_2024-12-18 18:00:00,2024-12-18 18:00:00,DEV_002,81,44
DEV_002_2024-12-18 20:00:00,2024-12-18 20:00:00,DEV_002,36,57
DEV_002_2024-12-18 22:00:00,2024-12-18 22:00:00,DEV_002,63,75
DEV_002_2024-12-19 00:00:00,2024-12-19 00:00:00,DEV_002,65,57
DEV_002_2024-12-19 02:00:00,2024-12-19 02:00:00,DEV_002,80,63
DEV_002_2024-12-19 04:00:00,2024-12-19 04:00:00,DEV_002,50,14
DEV_002_2024-12-19 06:00:00,2024-12-19 06:00:00,DEV_002,64,64
DEV_002_2024-12-19 08:00:00,2024-12-19 08:00:00,DEV_002,52,81
DEV_002_2024-12-19 10:00:00,2024-12-19 10:00:00,DEV_002,56,55
DEV_002_2024-12-19 12:00:00,2024-12-19 12:00:00,DEV_002,92,17
DEV_002_2024-12-19 14:00:00,2024-12-19 14:00:00,DEV_002,63,80
DEV_002_2024-12-19 16:00:00,2024-12-19 16:00:00,DEV_002,85,16
DEV_002_2024-12-19 18:00:00,2024-12-19 18:00:00,DEV_002,59,33
DEV_002_2024-12-19 20:00:00,2024-12-19 20:00:00,DEV_002,14,88
DEV_002_2024-12-19 22:00:00,2024-12-19 22:00:00,DEV_002,81,95
DEV_002_2024-12-20 00:00:00,2024-12-20 00:00:00,DEV_002,42,7
DEV_002_2024-12-20 02:00:00,2024-12-20 02:00:00,DEV_002,36,92
DEV_002_2024-12-20 04:00:00,2024-12-20 04:00:00,DEV_002,17,14
DEV_002_2024-12-20 06:00:00,2024-12-20 06:00:00,DEV_002,77,24
DEV_002_2024-12-20 08:00:00,2024-12-20 08:00:00,DEV_002,87,99
DEV_002_2024-12-20 10:00:00,2024-12-20 10:00:00,DEV_002,27,73
DEV_002_2024-12-20 12:00:00,2024-12-20 12:00:00,DEV_002,66,13
DEV_002_2024-12-20 14:00:00,2024-12-20 14:00:00,DEV_002,20,1
DEV_002_2024-12-20 16:00:00,2024-12-20 16:00:00,DEV_002,71,10
DEV_002_2024-12-20 18:00:00,2024-12-20 18:00:00,DEV_002,72,33
DEV_002_2024-12-20 20:00:00,2024-12-20 20:00:00,DEV_002,63,78
DEV_002_2024-12-20 22:00:00,2024-12-20 22:00:00,DEV_002,80,48
DEV_002_2024-12-21 00:00:00,2024-12-21 00:00:00,DEV_002,24,31
DEV_002_2024-12-21 02:00:00,2024-12-21 02:00:00,DEV_002,7,15
DEV_002_2024-12-21 04:00:00,2024-12-21 04:00:00,DEV_002,43,1
DEV_002_2024-12-21 06:00:00,2024-12-21 06:00:00,DEV_002,49,68
DEV_002_2024-12-21 08:00:00,2024-12-21 08:00:00,DEV_002,9,48
DEV_002_2024-12-21 10:00:00,2024-12-21 10:00:00,DEV_002,66,94
DEV_002_2024-12-21 12:00:00,2024-12-21 12:00:00,DEV_002,75,58
DEV_002_2024-12-21 14:00:00,2024-12-21 14:00:00,DEV_002,2,59
DEV_002_2024-12-21 16:00:00,2024-12-21 16:00:00,DEV_002,86,86
DEV_002_2024-12-21 18:00:00,2024-12-21 18:00:00,DEV_002,75,58
DEV_002_2024-12-21 20:00:00,2024-12-21 20:00:00,DEV_002,67,72
DEV_002_2024-12-21 22:00:00,2024-12-21 22:00:00,DEV_002,77,92
DEV_002_2024-12-22 00:00:00,2024-12-22 00:00:00,DEV_002,44,93
DEV_002_2024-12-22 02:00:00,2024-12-22 02:00:00,DEV_002,55,83
DEV_002_2024-12-22 04:00:00,2024-12-22 04:00:00,DEV_002,21,41
DEV_002_2024-12-22 06:00:00,2024-12-22 06:00:00,DEV_002,39,89
DEV_002_2024-12-22 08:00:00,2024-12-22 08:00:00,DEV_002,15,67
DEV_002_2024-12-22 10:00:00,2024-12-22 10:00:00,DEV_002,28,75
DEV_002_2024-12-22 12:00:00,2024-12-22 12:00:00,DEV_002,76,32
DEV_002_2024-12-22 14:00:00,2024-12-22 14:00:00,DEV_002,4,54
DEV_002_2024-12-22 16:00:00,2024-12-22 16:00:00,DEV_002,12,6
DEV_002_2024-12-22 18:00:00,2024-12-22 18:00:00,DEV_002,25,96
DEV_002_2024-12-22 20:00:00,2024-12-22 20:00:00,DEV_002,90,44
DEV_002_2024-12-22 22:00:00,2024-12-22 22:00:00,DEV_002,58,87
DEV_002_2024-12-23 00:00:00,2024-12-23 00:00:00,DEV_002,96,56
DEV_002_2024-12-23 02:00:00,2024-12-23 02:00:00,DEV_002,66,46
DEV_002_2024-12-23 04:00:00,2024-12-23 04:00:00,DEV_002,59,6
DEV_002_2024-12-23 06:00:00,2024-12-23 06:00:00,DEV_002,31,25
DEV_002_2024-12-23 08:00:00,2024-12-23 08:00:00,DEV_002,39,80
DEV_002_2024-12-23 10:00:00,2024-12-23 10:00:00,DEV_002,91,81
DEV_002_2024-12-23 12:00:00,2024-12-23 12:00:00,DEV_002,58,70
DEV_002_2024-12-23 14:00:00,2024-12-23 14:00:00,DEV_002,97,22
DEV_002_2024-12-23 16:00:00,2024-12-23 16:00:00,DEV_002,71,39
DEV_002_2024-12-23 18:00:00,2024-12-23 18:00:00,DEV_002,91,52
DEV_002_2024-12-23 20:00:00,2024-12-23 20:00:00,DEV_002,23,42
DEV_002_2024-12-23 22:00:00,2024-12-23 22:00:00,DEV_002,83,75
DEV_002_2024-12-24 00:00:00,2024-12-24 00:00:00,DEV_002,83,73
DEV_002_2024-12-24 02:00:00,2024-12-24 02:00:00,DEV_002,39,24
DEV_002_2024-12-24 04:00:00,2024-12-24 04:00:00,DEV_002,20,18
DEV_002_2024-12-24 06:00:00,2024-12-24 06:00:00,DEV_002,40,8
DEV_002_2024-12-24 08:00:00,2024-12-24 08:00:00,DEV_002,53,11
DEV_002_2024-12-24 10:00:00,2024-12-24 10:00:00,DEV_002,60,8
DEV_002_2024-12-24 12:00:00,2024-12-24 12:00:00,DEV_002,77,1
DEV_002_2024-12-24 14:00:00,2024-12-24 14:00:00,DEV_002,40,96
DEV_002_2024-12-24 16:00:00,2024-12-24 16:00:00,DEV_002,91,73
DEV_002_2024-12-24 18:00:00,2024-12-24 18:00:00,DEV_002,71,70
DEV_002_2024-12-24 20:00:00,2024-12-24 20:00:00,DEV_002,81,41
DEV_002_2024-12-24 22:00:00,2024-12-24 22:00:00,DEV_002,45,13
DEV_002_2024-12-25 00:00:00,2024-12-25 00:00:00,DEV_002,50,26
DEV_002_2024-12-25 02:00:00,2024-12-25 02:00:00,DEV_002,73,30
DEV_002_2024-12-25 04:00:00,2024-12-25 04:00:00,DEV_002,96,84
DEV_002_2024-12-25 06:00:00,2024-12-25 06:00:00,DEV_002,15,61
DEV_002_2024-12-25 08:00:00,2024-12-25 08:00:00,DEV_002,99,80
DEV_002_2024-12-25 10:00:00,2024-12-25 10:00:00,DEV_002,46,98
DEV_002_2024-12-25 12:00:00,2024-12-25 12:00:00,DEV_002,59,52
DEV_002_2024-12-25 14:00:00,2024-12-25 14:00:00,DEV_002,46,73
DEV_002_2024-12-25 16:00:00,2024-12-25 16:00:00,DEV_002,25,1
DEV_002_2024-12-25 18:00:00,2024-12-25 18:00:00,DEV_002,83,77
DEV_002_2024-12-25 20:00:00,2024-12-25 20:00:00,DEV_002,11,47
DEV_002_2024-12-25 22:00:00,2024-12-25 22:00:00,DEV_002,4,79
DEV_002_2024-12-26 00:00:00,2024-12-26 00:00:00,DEV_002,40,12
DEV_002_2024-12-26 02:00:00,2024-12-26 02:00:00,DEV_002,23,69
DEV_002_2024-12-26 04:00:00,2024-12-26 04:00:00,DEV_002,99,87
DEV_002_2024-12-26 06:00:00,2024-12-26 06:00:00,DEV_002,15,5
DEV_002_2024-12-26 08:00:00,2024-12-26 08:00:00,DEV_002,6,14
DEV_002_2024-12-26 10:00:00,2024-12-26 10:00:00,DEV_002,76,59
DEV_002_2024-12-26 12:00:00,2024-12-26 12:00:00,DEV_002,81,56
DEV_002_2024-12-26 14:00:00,2024-12-26 14:00:00,DEV_002,42,71
DEV_002_2024-12-26 16:00:00,2024-12-26 16:00:00,DEV_002,85,96
DEV_002_2024-12-26 18:00:00,2024-12-26 18:00:00,DEV_002,9,7
DEV_002_2024-12-26 20:00:00,2024-12-26 20:00:00,DEV_002,63,10
DEV_002_2024-12-26 22:00:00,2024-12-26 22:00:00,DEV_002,18,92
DEV_002_2024-12-27 00:00:00,2024-12-27 00:00:00,DEV_002,3,84
DEV_002_2024-12-27 02:00:00,2024-12-27 02:00:00,DEV_002,44,15
DEV_002_2024-12-27 04:00:00,2024-12-27 04:00:00,DEV_002,29,78
DEV_002_2024-12-27 06:00:00,2024-12-27 06:00:00,DEV_002,31,48
DEV_002_2024-12-27 08:00:00,2024-12-27 08:00:00,DEV_002,28,57
DEV_002_2024-12-27 10:00:00,2024-12-27 10:00:00,DEV_002,92,4
DEV_002_2024-12-27 12:00:00,2024-12-27 12:00:00,DEV_002,47,11
DEV_002_2024-12-27 14:00:00,2024-12-27 14:00:00,DEV_002,51,79
DEV_002_2024-12-27 16:00:00,2024-12-27 16:00:00,DEV_002,79,61
DEV_002_2024-12-27 18:00:00,2024-12-27 18:00:00,DEV_002,14,2
DEV_002_2024-12-27 20:00:00,2024-12-27 20:00:00,DEV_002,65,22
DEV_002_2024-12-27 22:00:00,2024-12-27 22:00:00,DEV_002,57,66
DEV_002_2024-12-28 00:00:00,2024-12-28 00:00:00,DEV_002,65,11
DEV_002_2024-12-28 02:00:00,2024-12-28 02:00:00,DEV_002,93,1
DEV_002_2024-12-28 04:00:00,2024-12-28 04:00:00,DEV_002,14,35
DEV_002_2024-12-28 06:00:00,2024-12-28 06:00:00,DEV_002,3,53
DEV_002_2024-12-28 08:00:00,2024-12-28 08:00:00,DEV_002,95,30
DEV_002_2024-12-28 10:00:00,2024-12-28 10:00:00,DEV_002,35,54
DEV_002_2024-12-28 12:00:00,2024-12-28 12:00:00,DEV_002,89,63
DEV_002_2024-12-28 14:00:00,2024-12-28 14:00:00,DEV_002,54,7
DEV_002_2024-12-28 16:00:00,2024-12-28 16:00:00,DEV_002,36,34
DEV_002_2024-12-28 18:00:00,2024-12-28 18:00:00,DEV_002,69,16
DEV_002_2024-12-28 20:00:00,2024-12-28 20:00:00,DEV_002,10,41
DEV_002_2024-12-28 22:00:00,2024-12-28 22:00:00,DEV_002,50,48
DEV_002_2024-12-29 00:00:00,2024-12-29 00:00:00,DEV_002,71,86
DEV_002_2024-12-29 02:00:00,2024-12-29 02:00:00,DEV_002,77,70
DEV_002_2024-12-29 04:00:00,2024-12-29 04:00:00,DEV_002,24,2
DEV_002_2024-12-29 06:00:00,2024-12-29 06:00:00,DEV_002,75,68
DEV_002_2024-12-29 08:00:00,2024-12-29 08:00:00,DEV_002,35,41
DEV_002_2024-12-29 10:00:00,2024-12-29 10:00:00,DEV_002,70,31
DEV_002_2024-12-29 12:00:00,2024-12-29 12:00:00,DEV_002,26,11
DEV_002_2024-12-29 14:00:00,2024-12-29 14:00:00,DEV_002,63,56
DEV_002_2024-12-29 16:00:00,2024-12-29 16:00:00,DEV_002,31,82
DEV_002_2024-12-29 18:00:00,2024-12-29 18:00:00,DEV_002,40,86
DEV_002_2024-12-29 20:00:00,2024-12-29 20:00:00,DEV_002,17,3
DEV_002_2024-12-29 22:00:00,2024-12-29 22:00:00,DEV_002,44,90
DEV_003_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_003,75,64
DEV_003_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_003,51,53
DEV_003_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_003,7,76
DEV_003_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_003,78,81
DEV_003_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_003,20,65
DEV_003_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_003,92,17
DEV_003_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_003,47,39
DEV_003_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_003,76,85
DEV_003_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_003,7,88
DEV_003_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_003,40,3
DEV_003_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_003,52,59
DEV_003_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_003,47,78
DEV_003_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_003,55,48
DEV_003_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_003,9,45
DEV_003_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_003,63,20
DEV_003_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_003,43,38
DEV_003_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_003,68,21
DEV_003_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_003,7,76
DEV_003_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_003,76,79
DEV_003_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_003,15,86
DEV_003_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_003,66,23
DEV_003_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_003,56,95
DEV_003_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_003,97,1
DEV_003_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_003,3,46
DEV_003_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_003,79,82
DEV_003_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_003,34,8
DEV_003_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_003,37,94
DEV_003_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_003,47,34
DEV_003_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_003,66,45
DEV_003_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_003,52,71
DEV_003_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_003,34,10
DEV_003_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_003,80,58
DEV_003_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_003,59,97
DEV_003_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_003,59,29
DEV_003_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_003,34,32
DEV_003_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_003,77,57
DEV_003_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_003,98,71
DEV_003_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_003,26,28
DEV_003_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_003,38,98
DEV_003_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_003,74,9
DEV_003_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_003,41,15
DEV_003_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_003,53,73
DEV_003_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_003,7,99
DEV_003_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_003,49,42
DEV_003_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_003,27,85
DEV_003_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_003,18,41
DEV_003_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_003,91,73
DEV_003_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_003,69,45
DEV_003_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_003,95,97
DEV_003_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_003,13,17
