distid,createdts,sn,acs_bid,acs_primary_ch,acs_prev_ch,acs_reason
DEV_003_2024-11-02 11:00:00,2024-11-02 11:00:00,DEV_003,25,27,8,84
DEV_003_2024-11-02 12:00:00,2024-11-02 12:00:00,DEV_003,26,25,78,84
DEV_003_2024-11-02 13:00:00,2024-11-02 13:00:00,DEV_003,20,1,27,67
DEV_003_2024-11-02 14:00:00,2024-11-02 14:00:00,DEV_003,36,89,97,13
DEV_003_2024-11-02 15:00:00,2024-11-02 15:00:00,DEV_003,74,35,25,88
DEV_003_2024-11-02 16:00:00,2024-11-02 16:00:00,DEV_003,97,1,22,83
DEV_003_2024-11-02 17:00:00,2024-11-02 17:00:00,DEV_003,29,3,24,36
DEV_003_2024-11-02 18:00:00,2024-11-02 18:00:00,DEV_003,4,82,23,79
DEV_003_2024-11-02 19:00:00,2024-11-02 19:00:00,DEV_003,62,17,14,46
DEV_003_2024-11-02 20:00:00,2024-11-02 20:00:00,DEV_003,2,59,42,67
DEV_003_2024-11-02 21:00:00,2024-11-02 21:00:00,DEV_003,1,50,78,54
DEV_003_2024-11-02 22:00:00,2024-11-02 22:00:00,DEV_003,63,89,18,25
DEV_003_2024-11-02 23:00:00,2024-11-02 23:00:00,DEV_003,52,75,27,12
DEV_003_2024-11-03 00:00:00,2024-11-03 00:00:00,DEV_003,57,71,76,50
DEV_003_2024-11-03 01:00:00,2024-11-03 01:00:00,DEV_003,73,90,16,90
DEV_003_2024-11-03 02:00:00,2024-11-03 02:00:00,DEV_003,97,95,19,48
DEV_003_2024-11-03 03:00:00,2024-11-03 03:00:00,DEV_003,55,86,8,50
DEV_003_2024-11-03 04:00:00,2024-11-03 04:00:00,DEV_003,13,20,71,62
DEV_003_2024-11-03 05:00:00,2024-11-03 05:00:00,DEV_003,28,72,36,91
DEV_003_2024-11-03 06:00:00,2024-11-03 06:00:00,DEV_003,74,97,74,97
DEV_003_2024-11-03 07:00:00,2024-11-03 07:00:00,DEV_003,67,7,30,90
DEV_003_2024-11-03 08:00:00,2024-11-03 08:00:00,DEV_003,4,96,32,15
DEV_003_2024-11-03 09:00:00,2024-11-03 09:00:00,DEV_003,39,48,74,6
DEV_003_2024-11-03 10:00:00,2024-11-03 10:00:00,DEV_003,18,20,56,21
DEV_003_2024-11-03 11:00:00,2024-11-03 11:00:00,DEV_003,99,52,89,79
DEV_003_2024-11-03 12:00:00,2024-11-03 12:00:00,DEV_003,71,5,30,96
DEV_003_2024-11-03 13:00:00,2024-11-03 13:00:00,DEV_003,86,52,74,22
DEV_003_2024-11-03 14:00:00,2024-11-03 14:00:00,DEV_003,38,87,83,42
DEV_003_2024-11-03 15:00:00,2024-11-03 15:00:00,DEV_003,23,22,97,23
DEV_003_2024-11-03 16:00:00,2024-11-03 16:00:00,DEV_003,73,99,1,86
DEV_003_2024-11-03 17:00:00,2024-11-03 17:00:00,DEV_003,25,81,11,46
DEV_003_2024-11-03 18:00:00,2024-11-03 18:00:00,DEV_003,9,99,74,65
DEV_003_2024-11-03 19:00:00,2024-11-03 19:00:00,DEV_003,7,68,4,66
DEV_003_2024-11-03 20:00:00,2024-11-03 20:00:00,DEV_003,91,27,28,26
DEV_003_2024-11-03 21:00:00,2024-11-03 21:00:00,DEV_003,12,86,78,1
DEV_003_2024-11-03 22:00:00,2024-11-03 22:00:00,DEV_003,92,27,12,62
DEV_003_2024-11-03 23:00:00,2024-11-03 23:00:00,DEV_003,28,65,46,64
DEV_003_2024-11-04 00:00:00,2024-11-04 00:00:00,DEV_003,93,76,12,67
DEV_003_2024-11-04 01:00:00,2024-11-04 01:00:00,DEV_003,94,41,20,81
DEV_003_2024-11-04 02:00:00,2024-11-04 02:00:00,DEV_003,86,22,78,87
DEV_003_2024-11-04 03:00:00,2024-11-04 03:00:00,DEV_003,98,26,90,88
DEV_003_2024-11-04 04:00:00,2024-11-04 04:00:00,DEV_003,78,19,21,3
DEV_003_2024-11-04 05:00:00,2024-11-04 05:00:00,DEV_003,86,15,47,23
DEV_003_2024-11-04 06:00:00,2024-11-04 06:00:00,DEV_003,93,10,61,31
DEV_003_2024-11-04 07:00:00,2024-11-04 07:00:00,DEV_003,75,72,83,8
DEV_003_2024-11-04 08:00:00,2024-11-04 08:00:00,DEV_003,7,98,60,87
DEV_003_2024-11-04 09:00:00,2024-11-04 09:00:00,DEV_003,32,75,3,73
DEV_003_2024-11-04 10:00:00,2024-11-04 10:00:00,DEV_003,18,17,36,57
DEV_003_2024-11-04 11:00:00,2024-11-04 11:00:00,DEV_003,99,73,31,12
DEV_003_2024-11-04 12:00:00,2024-11-04 12:00:00,DEV_003,58,14,69,29
DEV_003_2024-11-04 13:00:00,2024-11-04 13:00:00,DEV_003,52,69,39,9
DEV_003_2024-11-04 14:00:00,2024-11-04 14:00:00,DEV_003,85,2,78,27
DEV_003_2024-11-04 15:00:00,2024-11-04 15:00:00,DEV_003,6,58,73,19
DEV_003_2024-11-04 16:00:00,2024-11-04 16:00:00,DEV_003,4,41,85,90
DEV_003_2024-11-04 17:00:00,2024-11-04 17:00:00,DEV_003,33,73,78,14
DEV_003_2024-11-04 18:00:00,2024-11-04 18:00:00,DEV_003,70,48,48,17
DEV_003_2024-11-04 19:00:00,2024-11-04 19:00:00,DEV_003,54,99,97,65
DEV_003_2024-11-04 20:00:00,2024-11-04 20:00:00,DEV_003,67,15,11,13
DEV_003_2024-11-04 21:00:00,2024-11-04 21:00:00,DEV_003,95,5,10,99
DEV_003_2024-11-04 22:00:00,2024-11-04 22:00:00,DEV_003,72,16,77,30
DEV_003_2024-11-04 23:00:00,2024-11-04 23:00:00,DEV_003,97,44,47,73
DEV_003_2024-11-05 00:00:00,2024-11-05 00:00:00,DEV_003,9,83,4,19
DEV_003_2024-11-05 01:00:00,2024-11-05 01:00:00,DEV_003,18,39,57,21
DEV_003_2024-11-05 02:00:00,2024-11-05 02:00:00,DEV_003,6,68,60,45
DEV_003_2024-11-05 03:00:00,2024-11-05 03:00:00,DEV_003,19,43,80,13
DEV_003_2024-11-05 04:00:00,2024-11-05 04:00:00,DEV_003,57,27,16,32
DEV_003_2024-11-05 05:00:00,2024-11-05 05:00:00,DEV_003,81,59,7,99
DEV_003_2024-11-05 06:00:00,2024-11-05 06:00:00,DEV_003,7,37,56,28
DEV_003_2024-11-05 07:00:00,2024-11-05 07:00:00,DEV_003,52,12,89,50
DEV_003_2024-11-05 08:00:00,2024-11-05 08:00:00,DEV_003,27,53,8,92
DEV_003_2024-11-05 09:00:00,2024-11-05 09:00:00,DEV_003,63,82,95,83
DEV_003_2024-11-05 10:00:00,2024-11-05 10:00:00,DEV_003,24,10,27,6
DEV_003_2024-11-05 11:00:00,2024-11-05 11:00:00,DEV_003,35,74,50,52
DEV_003_2024-11-05 12:00:00,2024-11-05 12:00:00,DEV_003,60,60,54,78
DEV_003_2024-11-05 13:00:00,2024-11-05 13:00:00,DEV_003,26,69,72,84
DEV_003_2024-11-05 14:00:00,2024-11-05 14:00:00,DEV_003,10,27,79,12
DEV_003_2024-11-05 15:00:00,2024-11-05 15:00:00,DEV_003,94,55,5,67
DEV_003_2024-11-05 16:00:00,2024-11-05 16:00:00,DEV_003,63,29,52,74
DEV_003_2024-11-05 17:00:00,2024-11-05 17:00:00,DEV_003,46,68,43,34
DEV_003_2024-11-05 18:00:00,2024-11-05 18:00:00,DEV_003,71,45,52,90
DEV_003_2024-11-05 19:00:00,2024-11-05 19:00:00,DEV_003,67,57,46,23
DEV_003_2024-11-05 20:00:00,2024-11-05 20:00:00,DEV_003,89,92,16,16
DEV_003_2024-11-05 21:00:00,2024-11-05 21:00:00,DEV_003,68,38,8,80
DEV_003_2024-11-05 22:00:00,2024-11-05 22:00:00,DEV_003,92,18,15,23
DEV_003_2024-11-05 23:00:00,2024-11-05 23:00:00,DEV_003,8,19,6,24
DEV_003_2024-11-06 00:00:00,2024-11-06 00:00:00,DEV_003,28,28,77,9
DEV_003_2024-11-06 01:00:00,2024-11-06 01:00:00,DEV_003,54,58,34,14
DEV_003_2024-11-06 02:00:00,2024-11-06 02:00:00,DEV_003,77,27,31,6
DEV_003_2024-11-06 03:00:00,2024-11-06 03:00:00,DEV_003,57,2,41,22
DEV_003_2024-11-06 04:00:00,2024-11-06 04:00:00,DEV_003,66,91,22,28
DEV_003_2024-11-06 05:00:00,2024-11-06 05:00:00,DEV_003,70,56,91,28
DEV_003_2024-11-06 06:00:00,2024-11-06 06:00:00,DEV_003,37,79,85,26
DEV_003_2024-11-06 07:00:00,2024-11-06 07:00:00,DEV_003,43,1,90,83
DEV_003_2024-11-06 08:00:00,2024-11-06 08:00:00,DEV_003,79,5,59,27
DEV_003_2024-11-06 09:00:00,2024-11-06 09:00:00,DEV_003,53,19,17,72
DEV_003_2024-11-06 10:00:00,2024-11-06 10:00:00,DEV_003,1,8,81,27
DEV_003_2024-11-06 11:00:00,2024-11-06 11:00:00,DEV_003,93,8,9,79
DEV_003_2024-11-06 12:00:00,2024-11-06 12:00:00,DEV_003,32,20,56,25
DEV_003_2024-11-06 13:00:00,2024-11-06 13:00:00,DEV_003,41,69,87,24
DEV_003_2024-11-06 14:00:00,2024-11-06 14:00:00,DEV_003,28,22,43,62
DEV_003_2024-11-06 15:00:00,2024-11-06 15:00:00,DEV_003,27,35,6,76
DEV_003_2024-11-06 16:00:00,2024-11-06 16:00:00,DEV_003,95,72,68,52
DEV_003_2024-11-06 17:00:00,2024-11-06 17:00:00,DEV_003,72,19,10,93
DEV_003_2024-11-06 18:00:00,2024-11-06 18:00:00,DEV_003,97,87,9,67
DEV_003_2024-11-06 19:00:00,2024-11-06 19:00:00,DEV_003,32,25,3,6
DEV_003_2024-11-06 20:00:00,2024-11-06 20:00:00,DEV_003,73,98,5,6
DEV_003_2024-11-06 21:00:00,2024-11-06 21:00:00,DEV_003,60,29,4,86
DEV_003_2024-11-06 22:00:00,2024-11-06 22:00:00,DEV_003,82,14,95,28
DEV_003_2024-11-06 23:00:00,2024-11-06 23:00:00,DEV_003,75,58,69,64
DEV_003_2024-11-07 00:00:00,2024-11-07 00:00:00,DEV_003,58,20,69,46
DEV_003_2024-11-07 01:00:00,2024-11-07 01:00:00,DEV_003,96,49,85,94
DEV_003_2024-11-07 02:00:00,2024-11-07 02:00:00,DEV_003,44,80,32,14
DEV_003_2024-11-07 03:00:00,2024-11-07 03:00:00,DEV_003,28,61,44,49
DEV_003_2024-11-07 04:00:00,2024-11-07 04:00:00,DEV_003,16,3,48,51
DEV_003_2024-11-07 05:00:00,2024-11-07 05:00:00,DEV_003,47,75,53,11
DEV_003_2024-11-07 06:00:00,2024-11-07 06:00:00,DEV_003,51,26,92,23
DEV_003_2024-11-07 07:00:00,2024-11-07 07:00:00,DEV_003,83,15,1,85
DEV_003_2024-11-07 08:00:00,2024-11-07 08:00:00,DEV_003,3,41,53,70
DEV_003_2024-11-07 09:00:00,2024-11-07 09:00:00,DEV_003,38,60,74,34
DEV_003_2024-11-07 10:00:00,2024-11-07 10:00:00,DEV_003,98,39,90,96
DEV_003_2024-11-07 11:00:00,2024-11-07 11:00:00,DEV_003,96,70,44,51
DEV_003_2024-11-07 12:00:00,2024-11-07 12:00:00,DEV_003,38,38,82,86
DEV_003_2024-11-07 13:00:00,2024-11-07 13:00:00,DEV_003,23,36,50,46
DEV_003_2024-11-07 14:00:00,2024-11-07 14:00:00,DEV_003,21,65,63,4
DEV_003_2024-11-07 15:00:00,2024-11-07 15:00:00,DEV_003,59,63,47,69
DEV_003_2024-11-07 16:00:00,2024-11-07 16:00:00,DEV_003,2,13,46,81
DEV_003_2024-11-07 17:00:00,2024-11-07 17:00:00,DEV_003,58,31,45,20
DEV_003_2024-11-07 18:00:00,2024-11-07 18:00:00,DEV_003,19,52,81,2
DEV_003_2024-11-07 19:00:00,2024-11-07 19:00:00,DEV_003,94,44,46,46
DEV_003_2024-11-07 20:00:00,2024-11-07 20:00:00,DEV_003,14,25,15,4
DEV_003_2024-11-07 21:00:00,2024-11-07 21:00:00,DEV_003,70,65,89,21
DEV_003_2024-11-07 22:00:00,2024-11-07 22:00:00,DEV_003,55,43,4,79
DEV_003_2024-11-07 23:00:00,2024-11-07 23:00:00,DEV_003,72,18,13,64
DEV_003_2024-11-08 00:00:00,2024-11-08 00:00:00,DEV_003,57,76,74,23
DEV_003_2024-11-08 01:00:00,2024-11-08 01:00:00,DEV_003,19,31,81,20
DEV_003_2024-11-08 02:00:00,2024-11-08 02:00:00,DEV_003,13,21,55,12
DEV_003_2024-11-08 03:00:00,2024-11-08 03:00:00,DEV_003,88,88,43,92
DEV_003_2024-11-08 04:00:00,2024-11-08 04:00:00,DEV_003,96,17,40,75
DEV_003_2024-11-08 05:00:00,2024-11-08 05:00:00,DEV_003,60,8,43,38
DEV_003_2024-11-08 06:00:00,2024-11-08 06:00:00,DEV_003,37,82,3,2
DEV_003_2024-11-08 07:00:00,2024-11-08 07:00:00,DEV_003,26,38,72,31
DEV_003_2024-11-08 08:00:00,2024-11-08 08:00:00,DEV_003,85,80,73,11
DEV_003_2024-11-08 09:00:00,2024-11-08 09:00:00,DEV_003,9,2,31,26
DEV_003_2024-11-08 10:00:00,2024-11-08 10:00:00,DEV_003,59,37,67,53
DEV_003_2024-11-08 11:00:00,2024-11-08 11:00:00,DEV_003,46,61,4,6
DEV_003_2024-11-08 12:00:00,2024-11-08 12:00:00,DEV_003,50,84,72,53
DEV_003_2024-11-08 13:00:00,2024-11-08 13:00:00,DEV_003,31,2,6,33
DEV_003_2024-11-08 14:00:00,2024-11-08 14:00:00,DEV_003,63,18,47,76
DEV_003_2024-11-08 15:00:00,2024-11-08 15:00:00,DEV_003,73,82,15,98
DEV_003_2024-11-08 16:00:00,2024-11-08 16:00:00,DEV_003,56,49,56,36
DEV_003_2024-11-08 17:00:00,2024-11-08 17:00:00,DEV_003,79,68,51,79
DEV_003_2024-11-08 18:00:00,2024-11-08 18:00:00,DEV_003,42,15,1,95
DEV_003_2024-11-08 19:00:00,2024-11-08 19:00:00,DEV_003,5,77,32,15
DEV_003_2024-11-08 20:00:00,2024-11-08 20:00:00,DEV_003,23,85,14,24
DEV_003_2024-11-08 21:00:00,2024-11-08 21:00:00,DEV_003,76,69,82,58
DEV_003_2024-11-08 22:00:00,2024-11-08 22:00:00,DEV_003,2,43,49,50
DEV_003_2024-11-08 23:00:00,2024-11-08 23:00:00,DEV_003,25,4,23,33
DEV_003_2024-11-09 00:00:00,2024-11-09 00:00:00,DEV_003,63,42,54,6
DEV_003_2024-11-09 01:00:00,2024-11-09 01:00:00,DEV_003,74,97,3,83
DEV_003_2024-11-09 02:00:00,2024-11-09 02:00:00,DEV_003,65,30,59,42
DEV_003_2024-11-09 03:00:00,2024-11-09 03:00:00,DEV_003,58,29,68,49
DEV_003_2024-11-09 04:00:00,2024-11-09 04:00:00,DEV_003,93,62,27,2
DEV_003_2024-11-09 05:00:00,2024-11-09 05:00:00,DEV_003,99,76,38,23
DEV_003_2024-11-09 06:00:00,2024-11-09 06:00:00,DEV_003,62,2,70,81
DEV_003_2024-11-09 07:00:00,2024-11-09 07:00:00,DEV_003,62,48,85,19
DEV_003_2024-11-09 08:00:00,2024-11-09 08:00:00,DEV_003,79,21,65,6
DEV_003_2024-11-09 09:00:00,2024-11-09 09:00:00,DEV_003,78,62,7,94
DEV_003_2024-11-09 10:00:00,2024-11-09 10:00:00,DEV_003,24,61,26,10
DEV_003_2024-11-09 11:00:00,2024-11-09 11:00:00,DEV_003,75,1,46,34
DEV_003_2024-11-09 12:00:00,2024-11-09 12:00:00,DEV_003,88,93,18,6
DEV_003_2024-11-09 13:00:00,2024-11-09 13:00:00,DEV_003,66,25,53,87
DEV_003_2024-11-09 14:00:00,2024-11-09 14:00:00,DEV_003,42,28,98,24
DEV_003_2024-11-09 15:00:00,2024-11-09 15:00:00,DEV_003,44,91,11,70
DEV_003_2024-11-09 16:00:00,2024-11-09 16:00:00,DEV_003,55,5,14,78
DEV_003_2024-11-09 17:00:00,2024-11-09 17:00:00,DEV_003,88,11,6,16
DEV_003_2024-11-09 18:00:00,2024-11-09 18:00:00,DEV_003,65,18,3,68
DEV_003_2024-11-09 19:00:00,2024-11-09 19:00:00,DEV_003,52,62,32,17
DEV_003_2024-11-09 20:00:00,2024-11-09 20:00:00,DEV_003,94,16,78,43
DEV_003_2024-11-09 21:00:00,2024-11-09 21:00:00,DEV_003,12,65,69,7
DEV_003_2024-11-09 22:00:00,2024-11-09 22:00:00,DEV_003,23,22,13,51
DEV_003_2024-11-09 23:00:00,2024-11-09 23:00:00,DEV_003,75,91,99,74
DEV_003_2024-11-10 00:00:00,2024-11-10 00:00:00,DEV_003,64,61,89,12
DEV_003_2024-11-10 01:00:00,2024-11-10 01:00:00,DEV_003,14,1,44,49
DEV_003_2024-11-10 02:00:00,2024-11-10 02:00:00,DEV_003,67,29,3,64
DEV_003_2024-11-10 03:00:00,2024-11-10 03:00:00,DEV_003,81,25,87,17
DEV_003_2024-11-10 04:00:00,2024-11-10 04:00:00,DEV_003,40,84,91,50
DEV_003_2024-11-10 05:00:00,2024-11-10 05:00:00,DEV_003,36,37,37,23
DEV_003_2024-11-10 06:00:00,2024-11-10 06:00:00,DEV_003,67,38,23,31
DEV_003_2024-11-10 07:00:00,2024-11-10 07:00:00,DEV_003,10,90,46,8
DEV_003_2024-11-10 08:00:00,2024-11-10 08:00:00,DEV_003,28,91,40,43
DEV_003_2024-11-10 09:00:00,2024-11-10 09:00:00,DEV_003,90,51,47,87
DEV_003_2024-11-10 10:00:00,2024-11-10 10:00:00,DEV_003,77,82,39,90
DEV_003_2024-11-10 11:00:00,2024-11-10 11:00:00,DEV_003,29,77,5,40
DEV_003_2024-11-10 12:00:00,2024-11-10 12:00:00,DEV_003,34,37,66,43
DEV_003_2024-11-10 13:00:00,2024-11-10 13:00:00,DEV_003,16,72,31,13
DEV_003_2024-11-10 14:00:00,2024-11-10 14:00:00,DEV_003,56,66,38,10
DEV_003_2024-11-10 15:00:00,2024-11-10 15:00:00,DEV_003,26,39,59,62
DEV_003_2024-11-10 16:00:00,2024-11-10 16:00:00,DEV_003,95,50,70,15
DEV_003_2024-11-10 17:00:00,2024-11-10 17:00:00,DEV_003,85,26,57,73
DEV_003_2024-11-10 18:00:00,2024-11-10 18:00:00,DEV_003,55,97,37,8
DEV_003_2024-11-10 19:00:00,2024-11-10 19:00:00,DEV_003,67,63,87,66
DEV_003_2024-11-10 20:00:00,2024-11-10 20:00:00,DEV_003,19,36,48,30
DEV_003_2024-11-10 21:00:00,2024-11-10 21:00:00,DEV_003,38,59,46,72
DEV_003_2024-11-10 22:00:00,2024-11-10 22:00:00,DEV_003,36,14,84,90
DEV_003_2024-11-10 23:00:00,2024-11-10 23:00:00,DEV_003,59,79,17,15
DEV_003_2024-11-11 00:00:00,2024-11-11 00:00:00,DEV_003,42,80,57,99
DEV_003_2024-11-11 01:00:00,2024-11-11 01:00:00,DEV_003,94,26,21,24
DEV_003_2024-11-11 02:00:00,2024-11-11 02:00:00,DEV_003,22,21,37,76
DEV_003_2024-11-11 03:00:00,2024-11-11 03:00:00,DEV_003,78,8,48,92
DEV_003_2024-11-11 04:00:00,2024-11-11 04:00:00,DEV_003,97,32,84,58
DEV_003_2024-11-11 05:00:00,2024-11-11 05:00:00,DEV_003,92,51,57,75
DEV_003_2024-11-11 06:00:00,2024-11-11 06:00:00,DEV_003,43,14,59,15
DEV_003_2024-11-11 07:00:00,2024-11-11 07:00:00,DEV_003,90,44,13,69
DEV_003_2024-11-11 08:00:00,2024-11-11 08:00:00,DEV_003,55,61,58,8
DEV_003_2024-11-11 09:00:00,2024-11-11 09:00:00,DEV_003,7,20,50,52
DEV_003_2024-11-11 10:00:00,2024-11-11 10:00:00,DEV_003,23,19,97,40
DEV_003_2024-11-11 11:00:00,2024-11-11 11:00:00,DEV_003,54,98,65,12
DEV_003_2024-11-11 12:00:00,2024-11-11 12:00:00,DEV_003,42,85,29,92
DEV_003_2024-11-11 13:00:00,2024-11-11 13:00:00,DEV_003,48,42,80,61
DEV_003_2024-11-11 14:00:00,2024-11-11 14:00:00,DEV_003,49,59,16,48
DEV_003_2024-11-11 15:00:00,2024-11-11 15:00:00,DEV_003,87,31,33,44
DEV_003_2024-11-11 16:00:00,2024-11-11 16:00:00,DEV_003,43,75,18,53
DEV_003_2024-11-11 17:00:00,2024-11-11 17:00:00,DEV_003,80,74,56,45
DEV_003_2024-11-11 18:00:00,2024-11-11 18:00:00,DEV_003,36,57,93,8
DEV_003_2024-11-11 19:00:00,2024-11-11 19:00:00,DEV_003,4,23,47,98
DEV_003_2024-11-11 20:00:00,2024-11-11 20:00:00,DEV_003,93,59,47,89
DEV_003_2024-11-11 21:00:00,2024-11-11 21:00:00,DEV_003,53,19,93,70
DEV_003_2024-11-11 22:00:00,2024-11-11 22:00:00,DEV_003,20,50,12,48
DEV_003_2024-11-11 23:00:00,2024-11-11 23:00:00,DEV_003,1,17,41,4
DEV_003_2024-11-12 00:00:00,2024-11-12 00:00:00,DEV_003,70,55,65,77
DEV_003_2024-11-12 01:00:00,2024-11-12 01:00:00,DEV_003,62,35,28,78
DEV_003_2024-11-12 02:00:00,2024-11-12 02:00:00,DEV_003,64,64,2,23
DEV_003_2024-11-12 03:00:00,2024-11-12 03:00:00,DEV_003,43,89,36,39
DEV_003_2024-11-12 04:00:00,2024-11-12 04:00:00,DEV_003,56,24,90,94
DEV_003_2024-11-12 05:00:00,2024-11-12 05:00:00,DEV_003,53,63,15,45
DEV_003_2024-11-12 06:00:00,2024-11-12 06:00:00,DEV_003,60,27,45,19
DEV_003_2024-11-12 07:00:00,2024-11-12 07:00:00,DEV_003,2,51,16,94
DEV_003_2024-11-12 08:00:00,2024-11-12 08:00:00,DEV_003,55,77,79,56
DEV_003_2024-11-12 09:00:00,2024-11-12 09:00:00,DEV_003,30,4,72,14
DEV_003_2024-11-12 10:00:00,2024-11-12 10:00:00,DEV_003,97,5,14,52
DEV_003_2024-11-12 11:00:00,2024-11-12 11:00:00,DEV_003,67,53,41,47
DEV_003_2024-11-12 12:00:00,2024-11-12 12:00:00,DEV_003,34,80,48,52
DEV_003_2024-11-12 13:00:00,2024-11-12 13:00:00,DEV_003,79,12,41,52
DEV_003_2024-11-12 14:00:00,2024-11-12 14:00:00,DEV_003,7,12,80,63
DEV_003_2024-11-12 15:00:00,2024-11-12 15:00:00,DEV_003,29,64,17,11
DEV_003_2024-11-12 16:00:00,2024-11-12 16:00:00,DEV_003,90,96,73,56
DEV_003_2024-11-12 17:00:00,2024-11-12 17:00:00,DEV_003,55,51,92,10
DEV_003_2024-11-12 18:00:00,2024-11-12 18:00:00,DEV_003,37,32,62,82
DEV_003_2024-11-12 19:00:00,2024-11-12 19:00:00,DEV_003,89,22,5,74
DEV_003_2024-11-12 20:00:00,2024-11-12 20:00:00,DEV_003,68,9,12,1
DEV_003_2024-11-12 21:00:00,2024-11-12 21:00:00,DEV_003,7,12,33,67
DEV_003_2024-11-12 22:00:00,2024-11-12 22:00:00,DEV_003,18,89,67,5
DEV_003_2024-11-12 23:00:00,2024-11-12 23:00:00,DEV_003,81,76,39,83
DEV_003_2024-11-13 00:00:00,2024-11-13 00:00:00,DEV_003,35,56,46,41
DEV_003_2024-11-13 01:00:00,2024-11-13 01:00:00,DEV_003,43,60,59,27
DEV_003_2024-11-13 02:00:00,2024-11-13 02:00:00,DEV_003,16,48,77,36
DEV_003_2024-11-13 03:00:00,2024-11-13 03:00:00,DEV_003,1,69,46,42
DEV_003_2024-11-13 04:00:00,2024-11-13 04:00:00,DEV_003,74,83,49,77
DEV_003_2024-11-13 05:00:00,2024-11-13 05:00:00,DEV_003,13,74,87,77
DEV_003_2024-11-13 06:00:00,2024-11-13 06:00:00,DEV_003,23,83,69,29
DEV_003_2024-11-13 07:00:00,2024-11-13 07:00:00,DEV_003,53,31,52,35
DEV_003_2024-11-13 08:00:00,2024-11-13 08:00:00,DEV_003,30,78,35,28
DEV_003_2024-11-13 09:00:00,2024-11-13 09:00:00,DEV_003,6,91,65,48
DEV_003_2024-11-13 10:00:00,2024-11-13 10:00:00,DEV_003,71,41,23,59
DEV_003_2024-11-13 11:00:00,2024-11-13 11:00:00,DEV_003,2,51,52,59
DEV_003_2024-11-13 12:00:00,2024-11-13 12:00:00,DEV_003,25,7,7,50
DEV_003_2024-11-13 13:00:00,2024-11-13 13:00:00,DEV_003,62,77,79,51
DEV_003_2024-11-13 14:00:00,2024-11-13 14:00:00,DEV_003,6,88,95,65
DEV_003_2024-11-13 15:00:00,2024-11-13 15:00:00,DEV_003,53,6,14,72
DEV_003_2024-11-13 16:00:00,2024-11-13 16:00:00,DEV_003,25,31,81,20
DEV_003_2024-11-13 17:00:00,2024-11-13 17:00:00,DEV_003,23,52,24,31
DEV_003_2024-11-13 18:00:00,2024-11-13 18:00:00,DEV_003,56,7,37,87
DEV_003_2024-11-13 19:00:00,2024-11-13 19:00:00,DEV_003,10,74,89,25
DEV_003_2024-11-13 20:00:00,2024-11-13 20:00:00,DEV_003,73,99,41,29
DEV_003_2024-11-13 21:00:00,2024-11-13 21:00:00,DEV_003,29,72,15,5
DEV_003_2024-11-13 22:00:00,2024-11-13 22:00:00,DEV_003,15,16,94,99
DEV_003_2024-11-13 23:00:00,2024-11-13 23:00:00,DEV_003,6,44,70,67
DEV_003_2024-11-14 00:00:00,2024-11-14 00:00:00,DEV_003,18,4,84,55
DEV_003_2024-11-14 01:00:00,2024-11-14 01:00:00,DEV_003,7,9,89,32
DEV_003_2024-11-14 02:00:00,2024-11-14 02:00:00,DEV_003,60,32,31,51
DEV_003_2024-11-14 03:00:00,2024-11-14 03:00:00,DEV_003,47,1,25,79
DEV_003_2024-11-14 04:00:00,2024-11-14 04:00:00,DEV_003,47,93,10,3
DEV_003_2024-11-14 05:00:00,2024-11-14 05:00:00,DEV_003,43,43,46,82
DEV_003_2024-11-14 06:00:00,2024-11-14 06:00:00,DEV_003,13,1,1,99
DEV_003_2024-11-14 07:00:00,2024-11-14 07:00:00,DEV_003,14,19,24,82
DEV_003_2024-11-14 08:00:00,2024-11-14 08:00:00,DEV_003,41,88,64,76
DEV_003_2024-11-14 09:00:00,2024-11-14 09:00:00,DEV_003,31,81,4,34
DEV_003_2024-11-14 10:00:00,2024-11-14 10:00:00,DEV_003,41,52,31,4
DEV_003_2024-11-14 11:00:00,2024-11-14 11:00:00,DEV_003,19,13,17,40
DEV_003_2024-11-14 12:00:00,2024-11-14 12:00:00,DEV_003,54,14,70,40
DEV_003_2024-11-14 13:00:00,2024-11-14 13:00:00,DEV_003,52,96,45,63
DEV_003_2024-11-14 14:00:00,2024-11-14 14:00:00,DEV_003,6,44,24,12
DEV_003_2024-11-14 15:00:00,2024-11-14 15:00:00,DEV_003,95,44,39,25
DEV_003_2024-11-14 16:00:00,2024-11-14 16:00:00,DEV_003,4,12,86,54
DEV_003_2024-11-14 17:00:00,2024-11-14 17:00:00,DEV_003,15,26,31,18
DEV_003_2024-11-14 18:00:00,2024-11-14 18:00:00,DEV_003,31,10,86,56
DEV_003_2024-11-14 19:00:00,2024-11-14 19:00:00,DEV_003,26,90,88,27
DEV_003_2024-11-14 20:00:00,2024-11-14 20:00:00,DEV_003,54,53,64,55
DEV_003_2024-11-14 21:00:00,2024-11-14 21:00:00,DEV_003,51,18,15,68
DEV_003_2024-11-14 22:00:00,2024-11-14 22:00:00,DEV_003,67,21,69,95
DEV_003_2024-11-14 23:00:00,2024-11-14 23:00:00,DEV_003,9,60,90,14
DEV_003_2024-11-15 00:00:00,2024-11-15 00:00:00,DEV_003,68,10,3,85
DEV_003_2024-11-15 01:00:00,2024-11-15 01:00:00,DEV_003,53,23,84,99
